title,description,bestsellers-rank,authors
The Ramayana Tradition and Socio-Religious Change in Trinidad 1919-1990,"Hinduism is the second largest socio-religious denomination in Trinidad and Tobago, yet much of the fundamental dimensions of Trinidad Hinduism remain undocumented and a virtual enigma for most of the non-Hindu population. In The Ramayana Tradition and Socio-Religious Change in Trinidad, 1917-1990, Sherry-Ann Singh, demystifies Hindu thought and practice in Trinidad and charts the evolution of a significant section of the Indian diaspora. Using the Ramayana, one of the two great epics of India, and the most popular Hindu religious text in Trinidad, Singh deconstructs the major misconceptions surrounding Trinidad Hinduism. Rather than examining Hinduism in Trinidad as a secondary dimension of the Indian experience, Singh employs an insider's view to unmask the socio-religious transformation of the Hindu community. The result is a pioneering exposition of the dimensions of the Ramayana tradition in Trinidad and a charting of the journey of the Hindu community from the bottom of the socio-economic ladder in 1917 at the end of Indian indentured immigration to one that was essentially integrated into the social, political and economic life of Trinidad by 1990.",3636061.0,Marjorie Ford
"Performing the Arts of Indonesia 2019 : Malay Identity and Politics in the Music, Dance and Theatre of the Riau Islands","The 2,408 islands of Indonesia's Kepri (Kepulauan Riau or Riau Islands) province are said to be `sprinkled like a shake of pepper' across the Straits of Melaka and South China Sea. For two millennia until colonial times, they were part of the `maritime silk road' between China and Southeast, South and West Asia. Kepri's two million inhabitants thus share a seafaring worldview that is reflected in their traditions and daily life, and is expressed most commonly in the performing arts of its largest and smallest population groups, the Kepri Malays and the formerly nomadic Orang Suku Laut (People of the Sea) respectively. In recent decades, Kepri also has become home to large numbers of immigrants from other parts of Indonesia, some of whom practise the Malay as well as their own ethnic arts. Despite its close proximity to Singapore, this is a little-known world, one brought to life in a fascinating and innovative study. Grounded in extensive fieldwork, the volume explores not only the islands' iconic Malay (Melayu) performing arts - music, poetry, dance, martial arts, bardic arts, theatre and ritual - but also issues of space and place, local identity and popular memory. Generously illustrated and with a companion website presenting related audio-visual material, Performing the Arts of Indonesia will be an essential resource for anyone interested in this fascinating region.",3636060.0,Raymond J. Cronise
Rastafari : A Universal Philosophy in the Third Millenium,"Rastafari practitioners have continually resisted social sciences definition of what outsiders called a millenarian movement. They maintained against these efforts of categorization that Rastafari as a lived and living philosophy combines ancient roots with ever emerging routes. These historical, dynamic and creative dimensions challenge any homogenizing attempts to freeze the `movement' in time and space. African origins are as important as Diasporean experiences for Rastafari in the manifold struggles to downstroy slavery and oppression. But the strong universal appeal towards the realization of equal rights and justice implodes analytical and practical limitations of a Black Atlantic culture. This volume brings together contributions from well-known Rastafari practitioners and social scientists as a counter to the unilateral politics of outside definition, identification, and misrepresentation. They discuss Rastafari as an experimental philosophy; its historical and contemporary global culture dimensions and its contribution to issues such as decolonization, reparation and repatriation.",3636042.0,Mark Shuttleworth
Attaining Nibbana: Dependent Origination,,3635987.0,Maria Mudd Ruth
"Look, Listen and Say","""Look, Listen and Say"" is a brand new pre-primary course specially written for children starting to learn English at a very young age. Young learners will be delighted by the picture stories and, as they see and hear the stories unfold, will slowly start to produce key language themselves. Key words and expressions are practised in simple and effective activities without the need for reading and writing. These include songs, role-playing, colouring and craft activities. ""Look Listen and Say Pupil's Book"" contains: 12 units, each comprising of two lessons; 6 revision units; songs; plays and an end of year activity; finger puppets and masks; and, stickers. Teachers Guide, Flashcards, student Audio and Class Audio are also available.",3635902.0,Greta Gaard
"Look, Listen and Say","""Look, Listen and Say"" is a brand new pre-primary course specially written for children starting to learn English at a very young age. Young learners will be delighted by the picture stories and, as they see and hear the stories unfold, will slowly start to produce key language themselves. Key words and expressions are practised in simple and effective activities without the need for reading and writing. These include songs, role-playing, colouring and craft activities. ""Look Listen and Say Pupil's Book"" contains: 12 units, each comprising of two lessons; 6 revision units; songs; plays and an end of year activity; finger puppets and masks; and, stickers. Teachers Guide, Flashcards, student Audio and Class Audio are also available.",3635901.0,Greta Gaard
"Analog Electronic Filters : Theory, Design and Synthesis",Filters are essential subsystems in a huge variety of electronic systems. Filter applications,3635766.0,Donald L. Resnick
Achieving Transcendence: Pt. 2 : Dependent Origination,,3635431.0,Maria Mudd Ruth
Buddhist Women Meditators of Sri Lanka,,3635428.0,Maria Munkholt Christensen
LKY: Political Cartoons,,3634985.0,Nbew
Planetary gods and planetary orders in the mysteries of Mithras,,3634464.0,David Cowley
Mein Erstes Deutsches Bildworterbuch : Im Urlaub,Mein erstes bildwoterbuch im urlaub editado por Eli,3634090.0,World Food Programme
ELI Picture Dictionary : Picture Dictionary - English & CD-Rom,Eli Picture Dictionary,3634038.0,Agricultural Society of Japan
"A Grammar of Contemporary Igbo. Constituents, Features and Processes","In twenty-five chapters this book covers phonology, morphology, syntax and semantics. The chapters are organized in four discrete parts: phonology, morphology, syntax and semantics. They are uneven in terms of scope covered, length, the density of their contents and their degrees of difficulty. Each chapter ends with 'Some References' relevant to both the topic(s) treated in the chapter, in Igbo linguistics, and in general linguistics.",3633938.0,Qing Xie
Introduction to Algebraic Quantum Field Theory,"'Et moi, ..., si j'avait su comment en revenir, One service mathematics has rendered the human race. It has put common sense back je n'y serais point aile.' Jules Verne where it belongs, on the topmost shel.f next to the dusty canister labelled 'discarded non- The series is divergent; therefore we may be sense'. Eric T. Bell able to do something with it. o. Heaviside Mathematics is a tool for thought. A highly necessary tool in a world where both feedback and non- linearities abound. Similarly, all kinds of parts of mathematics serve as tools for other parts and for other sciences. Applying a simple rewriting rule to the quote on the right above one finds such statements as: 'One service topology has rendered mathematical physics ...'; 'One service logic has rendered com- puter science ...'; 'One service category theory has rendered mathematics ...'. All arguably true. And all statements obtainable this way form part of the raison d'etre of this series.",3633635.0,Wendy Leigh
Business English and Communication,"The book begins with the basics of communication and sentence structure in English, and leads the reader step by step through to the formal report writing and public speaking, with the aim of improving the reader's speaking, listening, reading and writing skills essential in today's global business world. The book is designed for intermediate level students and readers, and those at the advanced level who wish to give a final polish to their skills. It is suitable both for classroom use and self-study, adopting a ""hand-on"" approach to learning. Language learning is a living process; through the many exercises and tasks in the book, the reader will have ample opportunity to practice and learn the art of communication.",3633617.0,Yifan Yang
Nematode Interactions,"Nematode interactions are important biological phenomena and of great significance in agriculture. It is a fascinating subject which is multidisciplinary by nature, and concerns any scientist involved with plant health. There have been marked advances in our knowledge of various aspects of the subject in the last two decades. This study area has been the subject of several reviews, but there was no exclusive text on the subject. This has stressed the need to document the information, developing a unifying theme which treated nematode interactions in a holistic manner. This book is about the inter  action of plant-parasitic nematodes with other plant pathogens or root symbionts, the nature of their associations, their impact on the host and con  sequential interactive effects on the involved organisms. Since nematodes are at the centre of the theme, the responsibility of understanding of other plant pathogens dealt with in this book is largely delegated to the reader. I have limited the book content to interactions with biotic pathogens and root symbionts only, for various reasons. The book embodies 16 chapters, and attempts to present balanced infor  mation on various aspects of nematode interactions with other plant pathogens and root symbionts. Some chapters describe general aspects of the subject. Interactions of nematodes with specific groups of organisms are addressed in the remaining chapters.",3633576.0,The Abbotts
Advances in Citrus Nutrition,"This is a solitary attempt to streamline all the possible information related to citrus nutrition, with emphasis on diagnosis and management of nutrient constraints, employing a variety of state-of-art techniques evolved globally over the years . While doing so care has been taken to include peripheral disciplines so that the discussion becomes more lively and authoritative. An entire array of exclusive subjects has been nicely portrayed with the help of latest data and photographs.",3633261.0,Scovel Florence Shinn
Whisky,"Atención, bebedores de whisky, con este libro vais a aprender todo lo que queríais saber sobre vuestra bebida preferida. 128 páginas que recogen la historia de los whiskys más famosos y sus destilerías. Gracias a la petaca que lo acompaña podréis disfrutar de este placer en cualquier lugar .",3632365.0,Moris Halle
Chemical Process Modelling And Computer Simulation,"This comprehensive and thoroughly revised text, now in its third edition, continues to present the fundamental concepts of how mathematical models of chemical processes are constructed and demonstrate their applications to the simulation of three of the very important chemical engineering systems: the chemical reactors, distillation systems and vaporizing processes.",3632352.0,Rodney Benson
Pirates,,3632124.0,Anthony Elson
"AMIGOS DE EL PRINCIPITO,LOS",Los amigos de el principito editado por Magazzini salani,3630892.0,Henry C. Mercer
Belgian Solutions,"The Brussels-based artist David Helbich started collecting Belgian Solutions in 2006; he made photos of the peculiar and sometimes hilarious, no-nonsense solutions that he spotted in his daily surroundings. Once he started to share his photos online on Facebook in 2008 (the Belgian Solutions page has over 25,000 fans), the project gathered speed, with contributions by 'Belgian Solutions' spotters all over the world. And because Helbich keeps receiving pictures, he keeps creating content - much to the joy of his fans.",3630519.0,Oliver Graham-Jones
ELI Illustrated Dictionary : ELI Diccionario ilustrado,Età di lettura: da 8 anni.,3630399.0,William Claxton
ELI Illustrated Dictionary : ELI Dictionnaire illustre,,3630398.0,Virginia Chandler
T-kit No. 10 - Educational Evaluation in Youth Work,,3630313.0,Dan Radez
A Dictionary of Research Methodology and Statistics in Applied Linguistics,"'A dictionary of research methodology and statistics in applied linguistics' is a reference guide which offers an authoritative and comprehensive overview of key terms and concepts in the areas of research and statistics as concerns the field of applied linguistics. The volume is intended as a resource to delineate the meaning and use of various concepts, approaches, methods, designs, techniques, tools, types, and processes of applied linguistics research in an efficient and accessible style. Some entries relating to statistical aspects of research are also used so as to help the researcher in the successful formulation, analysis, and execution of the research design and carry the same towards its logical end. This book makes use of approximately 2000 entries on the key concepts and issues of research with cross references where necessary. This volume is designed to appeal to undergraduate and graduate students, teachers, lecturers, practitioners, researchers, consultants, and consumers of information across the field of applied linguistics and other related disciplines.",3629982.0,William Beatty
The Vertical Dimension in Prosthetis and Orthognathodontics. Integration between function and aesthetics,"It is more and more frequent in complex rehabilitations that the aesthetic assessment pre¬vails over function. This book’s objective consists in outlining an operative management path of the vertical dimension where the optimal restoration of function coincides with the aesthetic result. The vertical dimension is crucial both for a proper reconstruction of the occlusion and for a rehabilitation directed to the whole stomatognathic system. The text proposes in a simple and practical way the key concepts drawn from Prof. Slavicek and Prof. Sato’s philosophy, cutting across all the rehabilitative branches of dentistry, from removable to fixed prosthesis, from implant prosthesis to orthodontics, either that of the growing age or the one implemented in adult patients.",3629971.0,Amy K. Fewell
Cn5540 - Special Ops - Journal of the Elite Forces & Swat Units Vol. 40,1) Operation Telic VIII - The British Army in Iraq,3629590.0,Laura Ainsworth
Exam Preparatory Manual for Undergraduates: Obstetrics and Gynecology,"A must read for every student appearing for the final MBBS examinations, this book prepares students for both the theory and viva examinations. It covers essays and short-answer questions, with short notes and recent advances added.",3629437.0,John Eric Humphries
Son of Shiva,"Legend of KARTIKEYA: Champion of the Gods The asura king snarled and launched an avalanche of arrows at his adversary. Kartikeya countered with his mystic spear, which emitted a flurry of sparks, incinerating the oncoming missiles with consummate ease. The champion of the gods then whirled his discus. The twirling orb of light danced lethally through the asura army, obliterating Surapadma's hordes. Weaponless, armour shattered and flagstaff severed, Surapadma stood defenseless on the field. Son of Shiva is the gripping narrative of the warrior-god Kartikeya, commander-in-chief of the heavenly hosts, and epitome of wisdom and valour. The book depicts in mesmerizing prose the monumental battle between the forces of good and evil, as embodied by the devas and asuras. Preetha Rajah Kannan is the author of Shiva in the City of Nectar, an enthralling collection of stories based on the revered Tamil text, Thiruvilayaadal Puranam. She is also the editor of Navagraha Purana, a translation of the eponymous Telugu work on the mythology of the nine planets, by celebrated author V. S. Rao. Kannan has contributed extensively to newspapers and magazines, such as The New Indian Express and The Express School Magazine. A homemaker and a mother of two boys, she lives with her family in Madurai, Tamil Nadu.",3629286.0,Marcel Perret-gentil
Espanol Lengua Viva : Gramatica y recursos comunicativos 2,,3629267.0,Wes Jamroz
Tuberculosis of the Skeletal System,"Tuberculosis of the Skeletal System is the latest edition of this comprehensive guide to the effects of tuberculosis on the bones and joints, with guidelines for their management.",3629172.0,John Darby
Thomas Stearns at Venini: 1960-1962,"American artist Thomas Stearns (1936-2006) collaborated with the legendary Venini glassworks as a guest designer between 1960 and 1962. Stearns was the first American to design for Venini; he won a Fulbright Travel Grant, left Cranbrook Academy and showed up in Murano with plenty of new ideas for elegant, irregular blown-glass pieces (but absolutely no knowledge of the Italian language). Stearns' groundbreaking designs, characterized by asymmetrical forms and bold blocks of color, won the ""Best of Show"" award at the 1962 Venice Biennial, but proved too difficult to put into mass production--inadvertently preserving them as precious, limited-edition art objects. The latest in Skira's series of monographs on 20th-century glass, Thomas Stearns at Venini tells the fascinating story of Stearns' collaboration with the venerable Italian glassworks. An essential volume for collectors, scholars and dealers, the publication catalogs all of Stearns' production at Venini.",3628920.0,Jude Cowan Montague
Skiing Around the World : Over 30 Years in Search of the Ultimate Ski Descent,"This is an inspirational world ski guidebook. It is a 440-page, large format, coffee-table hardback - chock full of exciting and interesting experiences to inspire every skier, snowboarder, adventurer, and traveller. Lavishly produced with hundreds of full-colour photos, this is a travelogue depicting the ski culture and character of 47 fascinating countries and 200 ski areas...and the most comprehensive writing on each ski destination seen in a ski guidebook. Join Jimmy Petterson in Verbier, Alta, Chamonix and many of the world's most famous ski resorts, and continue with him to find his secret powder stashes in various lesser-known ski areas. Allow your senses to be inundated by the sights, sounds and smells of Marrakech and the nearby Atlas Mountains. Be entertained by adventures of snowmobile skiing in Greenland and meet the legendary father of extreme skiing, Sylvain Saudan on his recent heliskiing trips to the Himalayas of Kashmir. Ski and board through the Alps, the Rockies, the Caucasus, the Andes, the Tien Shan Mountains and many other beautiful ranges.",3628805.0,Peggy McDowell
Stoma Care,"A stoma is the result of an operation to remove disease such as cancer, Crohn's disease or diverticulitis - or from a bowel obstruction or injury to the digestive or urinary system. It is an artificial opening that allows faeces or urine either from the intestine or from the urinary tract to pass. There are three main types of stoma related to the digestive and urinary system - these are: colostomy, ileostomy and urostomy (Coloplast.co.uk).",3628417.0,Joseph Mitola
Otology & Middle Ear Surgery,Otology & Middle Ear Surgery is a comprehensive guide to the surgical treatment of a range of otological conditions.,3628383.0,Jeanne Wood
Neuro Spinal Surgery Operative Techniques: Lateral Mass Fixation in Sub-axial Cervical Spine,"Neuro Spinal Surgery Operative Techniques: Lateral Mass Fixation in Sub-axial Cervical Spine is a concise, illustrated resource for practising spine surgeons, which provides a step by step guide to the successful insertion of a lateral mass screw.",3628382.0,Jason M. Zurawski
Art of Abdominal Contouring : Advanced Liposuction,"Art of Abdominal Contouring is a concise, richly illustrated collection of abdomen contouring procedures, edited by Sanjay Parashar, Plastic and Reconstructive Surgeon at the Cocoona Centre for Aesthetic Transformation, Dubai.",3628381.0,John D.  Psy.D. Preston
WFNS Spine Committee Textbook on Thoracic Spine,"WFNS Spine Committee Textbook on Thoracic Spine is a comprehensive, illustrated review of surgical management of the thoracic spine, from the World Federation of Neurosurgical Societies.",3628380.0,James M Kouzes
Thaipusam in Malaysia : A Hindu Festival in the Tamil Diaspora,"""This is an important book by Carl Vadivella Belle which argues that Hinduism and its manifestations in the diaspora has important significance in binding not only the Hindus but also encourages 'others' to revisit Hinduism, especially in a multicultural society like Malaysia which is dominated by communally infused discourses structured upon race and religion.""",3628351.0,Marcus Power
Dismissed as elegant fossils : Konoe Nobutada and the role of aristocrats in Early Modern Japan,"Konoe Nobutada (1565-1614) was a famous calligrapher and head of a high-ranking aristocratic family. Nobutada's contributions to the art and culture, have frequently been overlooked, largely because of the common misperception that aristocrats were too outdated, impoverished and powerless to be worthy of discussion. Dismissed as Elegant Fossils seeks to reinstate aristocrats as key players in the competition for political and artistic supremacy by examining Nobutada's calligraphy and painting, his turbulent relationship with Tokugawa Ieyasu, and his family's role in marital politics.",3628326.0,Lara Jane
Dreamcatching : A Spiritual Guide to Use and Understand Dreamcatchers - Includes a Dreamcatcher,"Dreamcatchers have been part of many Native American cultures. This book explores Kaya Walker's vision of the significance of dreamcatchers and her approach to using them for deeper connections to the energies of the universe. Join Kaya as she shares her techniques for utilizing dreamcatchers to enhance spiritual stability, empower your inner self, and protect the world we live in. Book is packaged with a dreamcatcher.",3628265.0,M. Doreal
Speakeasy : Secret Bars Around the World,"Hidden entrances, dark places, low volume music, smoke, women, crime and obviously alcohol. In the days of Prohibition (1920-1933), these were the explosive ingredients of the American speakeasies: clubs that served alcohol illegally, when the government prohibited even its production and transport. They were frequented by gangster such as Al Capone and Lucky Luciano and",3628244.0,Mordechai Bar-On
Vedic Wisdom : Testing Your Knowledge While Entertaining Yourself,"Basic aim of this book is to help school students of secondary or higher secondary schools (Xth or XIIth). The idea is to create their interests in science and to present difficult scientific topics in interesting and easy to understand manner. Generally students find scientific topics so hard that they soon loose their interests and avoid the subject. The same kind of difficulties they face in various competitions and interviews. With the help of this book they can enhance their knowledge and confidence. Every topic has been dealt with in such a way that even a lay reader could understand the subject through many short questions-answers. If you want to increase your knowledge and understanding of Science, you must read this book. You can also check your general knowledge about all the scientific topics. Filled with fascinating scientific information and facts, this book is highly beneficial for both students and general readers. And more, the answers to all of your general trivia challenges are there. Hundreds of questions on a variety of related topics, this book has Quiz Books/Puzzles/Brain Teaserszes on all the topics related to Science, that will both educate and entertain you. And lots of other knowledge and information -- things you knew, didn't know (and thought you knew but didn't!) You'll never have a dull moment with this extraordinary compendium of fascinating facts, interesting information, and tantalizing trivia. If you're even remotely interested in Quiz Books/Puzzles/Brain Teasers shows, this book will transport you to exhilarating heights. But you don't have to be a Quiz Books/Puzzles/Brain Teasers buff to take pleasure from it. If you are one that marvels at the remarkable world around us, then you are sure to enjoy going through the pages of this mind-bending eye-opener. This exciting trivia book is packed with enough Quiz Books/Puzzles/Brain Teaserszes, lists, and definitions to please even the most ardent trivia buff. Plus, there are many brief descriptions and details to give insight into how things work or a phenomena is explained. The fascinating world of science is revealed in different light before you. Read and enjoy it. #v&spublishers",3628150.0,Matt Cummings
"Divine Word and Prophetic Word in Early Islam : A Reconsideration of the Sources, with Special Reference to the Divine Saying or Hadith Qudsi","The series Religion and Society (RS) contributes to the exploration of religions as social systems- both in Western and non-Western societies; in particular, it examines religions in their differentiation from, and intersection with, other cultural systems, such as art, economy, law and politics. Due attention is given to paradigmatic case or comparative studies that exhibit a clear theoretical orientation with the empirical and historical data of religion and such aspects of religion as ritual, the religious imagination, constructions of tradition, iconography, or media. In addition, the formation of religious communities, their construction of identity, and their relation to society and the wider public are key issues of this series.",3628126.0,Mario Lloret
The Art of Caricaturing : Making Comics,"The Art of Caricaturing by Mitchell Smith, has many tips for wannabe cartoonists. Pen lines and material, expression, exaggeration, comic figures, action, shading and shadows, technique, lettering and animals are some of the chapters included in this book",3627818.0,Berta Serralde
Rays,,3627737.0,Mario Lippert
The Pocket Doctor: Obstetrics & Gynecology,This book is a quick reference guide to obstetrics and gynaecology for trainees and physicians.,3627628.0,Jenny Wayne
Lesen und Uben : Der Sandmann - book + cassette,,3627524.0,Giuseppe Spadafora
Handbook of Geostationary Orbits,"This Handbook 0/ Geostationary Orbits is in principle an extension of the Introduction to Geostationary Orbits that was printed as a special publica  tion by the European Space Agency (ESA) in 1983. The immediate purpose was to provide the theoretical background and some practical advice for the orbit control of geostationary spacecraft by means of the software package ""PEPSOC"". PEPSOC, short for ""Portable ESOC Package for Synchronous Orbit Con  trol"" , was produced by the European Space Operations Centre (ESOC) to support spacecraft operations in the routine phase. The resulting publication was a handbook for engineers and spacecraft operators, rather than a clas  sical textbook in celestial mechanics. During the past eleven years, the software system PEPSOC has found a wide application both within and outside the ESA member states. At the same time, the original Introduction found numerous readers also outside the group of PEPSOC operators. The continuing development and the in  creasing use of the geostationary orbit has now created the need for a new, more detailed publication to include new aspects that have emerged. The present Handbook contains several additional subjects and more math  ematics to describe the methods applied in PEPSOC. The geophysical and astronomical parameters have been updated to reflect the latest recom  mended values. This results in small deviations of the numerical data compared to the Introduction.",3627271.0,Danner Kline
Compendium of Indicators for Nutrition-Sensitive Agriculture,"This simple guide is for those responsible for the monitoring and evaluation (M&E) of investment projects in food and agriculture (including and in addition to value chains, social development, and rural development) that need to demonstrate that they lead to intermediary results toward improved nutrition. This compendium aims to gather the main existing nutrition-relevant indicators that can be used for M&E of food and agriculture investments, and to show which type of investments each type of indicator is most appropriate for.",3627250.0,A. Aimee
Best Commercial Practice : Teacher's Guide + class audio CDs (2) + DVD-ROM,Best Commercial Practice Tb + 2 Class Audio Cds + Cdrom 0 Eli,3626923.0,Carol T. Walsh
Field Guides : Fao Species Identification Sheets for Fishery Purposes,"This DVD contains a compilation of all 23 FAO field guides that were published since 1984. They were published in three different series: FAO species identification sheets for fishery purposes, FAO species identification field guide for fishery purposes and FAO species identification guide for fishery purposes.",3626609.0,A. Aimee
Food Quality and Safety Systems : A Training Manual on Food Hygiene and the Hazard Analysis and Critical Control Point (HACCP) System,"One important element of FAO's work is building the capacity of food control personnel, including government authorities and food industry personnel carrying out food quality and safety assurance programmes. Such programmes should include specific food risk control procedures such as the Hazard Analysis and Critical Control Point (HACCP) system. FAO has prepared this manual in an effort to harmonise the approach to training in the HACCP system based on the already harmonised texts and guidelines of the Codex Alimentarius Commission. The manual is structured to provide essential information in a standardised, logical and systematic manner while adhering to effective teaching and learning strategies. Each section is made up of specific training modules which can be combined and customised to meet the specific needs of the students. 1998 (first edition), 2009 (this reprint).  Also published in French, Russian and Spanish.",3626563.0,A. Aimee
What Matters in a Research to Practice Cycle? : Teachers as Researchers,This book introduces a comprehensive RTP Model that reframes research to practice knowledge and inclusive education philosophy to promote the sustained use of research to promote and enhance meaningful education for all students.,3626308.0,Alison Trulock
Journey Back in Time Through Maps (New Edition),"In our modern day and age, when satellite imagery and GPS services like Google Maps, offer strikingly accurate images of the world, we can easily forget that for most of human history the world was an unknown tabula rasa",3625603.0,Richard Hartlage
Create Your Noah's Ark,"The biblical story of Noah's ark comes to vibrant life with this irresistible and easy-to-put-together kit.  Two by two, watch Agnese Baruzzi's adorable animals parade to safety! Kids can create their own mini Noah's ark using these sturdy cardboard pieces that easily fit onto individual stands. The creatures include everything from ducks and crocodiles to bunnies, bears, foxes, and owls. Along with building their boat, children can read the simple adaptation of Noah's story that also comes in the sturdy keepsake box.  AGES: 6 and up  AUTHOR: Agnese Baruzzi has a degree in Graphic Design from the Istituto Superiore per le Industrie Artistiche in Urbino. She has worked as an illustrator and author since 2001, writing more than 40 children's books that have been published in Italy, the UK, Japan, Portugal, the US, France, and South Korea. She holds workshops for children and adults in schools and libraries and provides illustrations for agencies, graphic art studios, and publishers. Her work for White Star includes illustrating Animal Mix and Match, Curious Creatures, Dinosaurs Mix Aand Match, Dining with Monsters!, Curious Dinosaurs, Topsy-Turvy Monsters, I'm Going to Eat You!, Puss in Boots, and Hansel and Gretel.  SELLING POINTS:     An appealing package with a book and keepsake box     Easy to put together - no scissors, tape, or glue required!  Full colour book plus 15 cut-out pieces",3625587.0,Elena Peterson
Memories of the First 3 Years (girl) Record Book and Origami Mobile Kit,"An original and innovative product that parents will certainly appreciate as a precious companion for their baby in the early years. This box contains a classic scrapbook which is magnificently illustrated and has many pockets, where thoughts, photographs and small objects concerning the baby's infancy can be kept. It also has a kit of strings and sticks to be used to make a mobile to hang over the crib, to which you can attach original origamis made from the coloured paper provided in the box. Clear instructions are provided in a booklet in the kit. This an ideal gift for new parents as well as being useful and attractive for the baby. It will involve the parents in creative activity and become a part of the child's first sensory and play experiences.",3625574.0,Lenore Hirsch
12 Great Americans CD,"Poetry. Multimedia. The audio CD 12 GREAT AMERICANS contains poetry readings by leading American countercultural poets. The poetry readings were recorded between 1966 and 1968 by Carl Weissner of the literary magazine Klactoveedsedsteen. Some of these recordings were published in 1972 on the now difficult-to-find LP &quot;A Cold Turkey Special&quot;. This CD contains all poetry readings available on the LP plus 18 minutes of previously unpublished material taken from Carl Weissner's master tape of the LP. Contributors include: Ed Sanders, Allen Ginsberg, Diane di Prima, Ted Berrigan, Charles Bukowski, John Wieners, Paul Blackburn, John Giorno, Harold Norse, Ray Bremser, Jim Silver and Carol Berge. Total running time of the disc is 65:54.",3624796.0,G. Shelling
The World Map of 1669 by Jodocus Hondius the Elder and Nicolaas Visscher,,3624310.0,Ramon Ruiz
Theory Of Orbital Motion,"Orbital motion is a vital subject which has engaged the greatest minds in mathematics and physics from Kepler to Einstein. It has gained in importance in the space age and touches every scientist in any field of space science. Still, there is almost a total dearth of books in this important field at the elementary and intermediate levels - at best a chapter in an undergraduate or graduate mechanics course.This book addresses that need, beginning with Kepler's laws of planetary motion followed by Newton's law of gravitation. Average and extremum values of dynamical variables are treated and the central force problem is formally discussed. The planetary problem in Cartesian and complex coordinates is tackled and examples of Keplerian motion in the solar system are also considered. The final part of the book is devoted to the motion of artificial Earth satellites and the modifications of their orbits by perturbing forces of various kinds.",3623813.0,David Holmberg
Perfect Storm,"This is a volume rich in powerful images, dedicated to the most overwhelming and intoxicating aspects of the sea, the incredible violence unleashed during storms, and the extraordinary force of waves with their disturbing beauty. The sea is life, pure energy expressed in ways that evoke the most diverse states of mind. The sea is movement. Nothing embodies certain explosive sensations, feelings or uncontrollable urges better than waves breaking on rocks during a storm, exploding in white clouds of salt water, or the violence of a storm in the open sea, when nature's irrepressible fury is unleashed in all of its unpredictability. In these pages, the sea is also revealed as the symbol of nature as a friend, as a positive force running through the white swirls of waves. It is ridden with mastery and audacity by adventurous surfers, protagonists of an extraordinary gallery of images. They venture patiently and fearlessly into the midst of frightfully powerful waves up to 17-feet (5-m) high, in order to ride their clear blue surface with an unmatched thrill. And there they go, leaping onto the crest of the wave at precisely the right moment, to finally dominate the wave and, in doing so, to exercise the same control over themselves, their emotions, and their own lives. Just as captivating are the images of other men battling against the force of the sea; famous sportsmen or common workmen caught in the vortex of a storm, with all their senses alert and the tension that comes from feeling all their remaining energy put to the test. Giant waves rise high and menacing, then crash down on the seamen with an infernal roar. The waves strike the ship with increasing speed and intensity, while the air resonates with the strident sounds of the storm. This book evokes the voice of the storm through a collection of powerful photographs that arouse strong emotions, both in those who know the sea well through direct experience, and in those who dream of it, like a mirror of their own soul and the expression of multiple states of their own conscience.  ILLUSTRATIONS: 106 colour photographs",3623518.0,Thomas Hankeln
Yalos : Why Glass?,"Glass is so malleable that it seemingly eludes the formal principles obeyed by most solid materials; it can be used to create a delicate windowpane or formed into a massive unbreakable block, translucent or opaque, jagged or smooth. The production of glass began more than 5,000 years ago, and its formal ambiguity has been exploited throughout the centuries by artisans and artists. This international survey includes glass works by leading contemporary artists including Kiki Smith, Tony Cragg, Flavio Favelli, Marco Gastini, Gilbert & George, Josiah McElheny, Marzia Migliora, Luigi Ontani, Marco Papa, Gaetano Pesce, Jaume Plensa, Roberta Silva and Jana Sterbak--several of whom have devoted their careers to exploring the material's extraordinary formal range. This volume includes a text by Luca Massimo Barbero, Associate Curator at the Peggy Guggenheim Collection in Venice.",3620870.0,Kiyoshi Kikuchi
Soil Sampling and Methods of Analysis,"Soil Science is an important and basic science in agriculture which deals with different domains of soil research namely, soil formation, genesis and classification, soil physics, soil chemistry, soil fertility and plant nutrition, soil biology, etc. Characterization as well as our understanding of soils requires that they are precisely analysed and described. While the physical properties of soils determine their adaptability to cultivation, chemical properties tells about their chemical environment and nutrient status to the crop production - the most important use of soils on this densely populated planet. Determination of different soil physical and chemical properties in the field or in the laboratory following suitable analytical methods is first step towards appropriate soil managements and scientific recommendations for increasing crop production.",3620514.0,Sharon Swisher
